,line,location,language,original_comment,new_line,trigram,comment length,value,category,keywords,description,length,prediction
0,"['sentri', 'sdk', 'com', 'pile', 'part', 'java', 'sdk', 'avail', 'android', 'sdk', 'let', 'ignor', 'issu', 'sentri', 'code', 'sinc', 'third', 'parti', 'depend', 'anyway']",/Users/rubber/fenix/app/lint.xml: 8,xml,The Sentry SDK is compiled against parts of the Java SDK that are not available in the Android SDK.              Let's just ignore issues in the Sentry code since that is a thirdparty dependency anyways. ,sentri sdk com pile part java sdk avail android sdk let ignor issu sentri code sinc third parti depend anyway,"[('sentri', 'sdk', 'compil'), ('sdk', 'compil', 'part'), ('compil', 'part', 'java'), ('part', 'java', 'sdk'), ('java', 'sdk', 'avail'), ('sdk', 'avail', 'android'), ('avail', 'android', 'sdk'), ('android', 'sdk', 'let'), ('sdk', 'let', 'ignor'), ('let', 'ignor', 'issu'), ('ignor', 'issu', 'sentri'), ('issu', 'sentri', 'code'), ('sentri', 'code', 'sinc'), ('code', 'sinc', 'thirdparti'), ('sinc', 'thirdparti', 'depend'), ('thirdparti', 'depend', 'anyway')]",18,"['violates independent', 'violates responsible']","['Self_direction', 'Benevolence']","['depend', 'ignor']","value violation, value violation",20, benevolence
1,"['perform', 'valid', 'ate', 'address', 'check', 'signific', 'impact']",/Users/rubber/fenix/app/lint.xml: 22,xml,Performance: we haven't validated that addressing these checks have a significant impact ,perform valid ate address check signific impact,"[('perform', 'havent', 'valid'), ('havent', 'valid', 'address'), ('valid', 'address', 'check'), ('address', 'check', 'signific'), ('check', 'signific', 'impact')]",7,"['obeys security', 'obeys responsible']","['Security', 'Benevolence']","['valid', 'valid', 'valid', 'check']",conforms with value,7,
2,"['perform', 'valid', 'ate', 'address', 'check', 'signific', 'impact', 'perform', 'quick', 'fix', 'escal', 'error']",/Users/rubber/fenix/app/lint.xml: 23,xml,Performance: we haven't validated that addressing these checks have a significant impact          on performance but they're very quick to fix so we escalate them to error. ,perform valid ate address check signific impact perform quick fix escal error,"[('perform', 'havent', 'valid'), ('havent', 'valid', 'address'), ('valid', 'address', 'check'), ('address', 'check', 'signific'), ('check', 'signific', 'impact'), ('signific', 'impact', 'perform'), ('impact', 'perform', 'theyr'), ('perform', 'theyr', 'quick'), ('theyr', 'quick', 'fix'), ('quick', 'fix', 'escal'), ('fix', 'escal', 'error')]",13,"['obeys security', 'violates healthy', 'obeys responsible']","['Security', 'Security', 'Benevolence']","['valid', 'valid', 'valid', 'error', 'check', 'fix']",conforms with value,12, security
3,"['perform', 'big', 'win', 'theoret', 'perspect', 'escal', 'error']",/Users/rubber/fenix/app/lint.xml: 24,xml,Performance: big wins from a theoretical perspective so we escalate to error.  ,perform big win theoret perspect escal error,"[('perform', 'big', 'win'), ('big', 'win', 'theoret'), ('win', 'theoret', 'perspect'), ('theoret', 'perspect', 'escal'), ('perspect', 'escal', 'error')]",7,['violates healthy'],['Security'],['error'],value violation,7, security
4,"['perform', 'quick', 'tofix', 'viola', 'tion', 'escal', 'error']",/Users/rubber/fenix/app/lint.xml: 35,xml,Performance: quicktofix violations so we escalate to error. ,perform quick tofix viola tion escal error,"[('perform', 'quicktofix', 'violat'), ('quicktofix', 'violat', 'escal'), ('violat', 'escal', 'error')]",5,['violates healthy'],['Security'],['error'],value violation,7, security
5,"['perform', 'quick', 'tofix', 'viola', 'tion', 'escal', 'error', 'valid', 'ate', 'signific', 'impact', 'though']",/Users/rubber/fenix/app/lint.xml: 36,xml,Performance: quicktofix violations so we escalate to error.          We haven't validated that they have a significant impact though. ,perform quick tofix viola tion escal error valid ate signific impact though,"[('perform', 'quicktofix', 'violat'), ('quicktofix', 'violat', 'escal'), ('violat', 'escal', 'error'), ('escal', 'error', 'havent'), ('error', 'havent', 'valid'), ('havent', 'valid', 'signific'), ('valid', 'signific', 'impact'), ('signific', 'impact', 'though')]",10,"['obeys security', 'violates healthy']","['Security', 'Security']","['valid', 'valid', 'valid', 'error']","conforms with value, value violation",12, security
6,"['perform', 'check', 'like', 'eventu', 'set', 'error']",/Users/rubber/fenix/app/lint.xml: 50,xml,Performance: checks we'd like to eventually set to error.  ,perform check like eventu set error,"[('perform', 'check', 'wed'), ('check', 'wed', 'like'), ('wed', 'like', 'eventu'), ('like', 'eventu', 'set'), ('eventu', 'set', 'error')]",7,"['violates healthy', 'obeys responsible']","['Security', 'Benevolence']","['error', 'check']",conforms with value,6, security
7,"['use', 'automa', 'ted', 'process', 'remov', 'local', 'ize', 'string', 'remov', 'default', 'string', 'xml', 'mean', 'file', 'local', 'ize', 'string', 'contain', 'unus', 'resourc', 'day', 'origin', 'remov', 'oper']",/Users/rubber/fenix/app/lint.xml: 55,xml,Using an automated process to remove localized strings after they are removed from the default strings.xml         means the files for localized strings will contain unused resources for a few days after the original removal operation. ,use automa ted process remov local ize string remov default string xml mean file local ize string contain unus resourc day origin remov oper,"[('use', 'autom', 'process'), ('autom', 'process', 'remov'), ('process', 'remov', 'local'), ('remov', 'local', 'string'), ('local', 'string', 'remov'), ('string', 'remov', 'default'), ('remov', 'default', 'stringsxml'), ('default', 'stringsxml', 'mean'), ('stringsxml', 'mean', 'file'), ('mean', 'file', 'local'), ('file', 'local', 'string'), ('local', 'string', 'contain'), ('string', 'contain', 'unus'), ('contain', 'unus', 'resourc'), ('unus', 'resourc', 'day'), ('resourc', 'day', 'origin'), ('day', 'origin', 'remov'), ('origin', 'remov', 'oper')]",20,['violates clean'],['Security'],['unus'],value violation,24,
8,"['perform', 'check', 'unsur', 'valu', 'might', 'want', 'investig']",/Users/rubber/fenix/app/lint.xml: 59,xml,Performance: checks that we're unsure of the value of that we might want to investigate.  ,perform check unsur valu might want investig,"[('perform', 'check', 'unsur'), ('check', 'unsur', 'valu'), ('unsur', 'valu', 'might'), ('valu', 'might', 'want'), ('might', 'want', 'investig')]",7,"['obeys choosing own goals', 'obeys curious', 'violates self respect', 'obeys responsible']","['self-direction', 'Self_direction', 'Self_direction', 'Benevolence']","['valu', 'might', 'investig', 'unsur', 'check']",conforms with value,7,
9,"['hurt', 'develop', 'conveni', 'kotlin', 'map', 'depth', 'custom', 'ize', 'view', 'count', 'custom', 'ize']",/Users/rubber/fenix/app/lint.xml: 65,xml,hurts developer convenience of kotlin Map...  depth can be customized  view count can be customized  ,hurt develop conveni kotlin map depth custom ize view count custom ize,"[('hurt', 'develop', 'conveni'), ('develop', 'conveni', 'kotlin'), ('conveni', 'kotlin', 'map'), ('kotlin', 'map', 'depth'), ('map', 'depth', 'custom'), ('depth', 'custom', 'view'), ('custom', 'view', 'count'), ('view', 'count', 'custom')]",10,['obeys helpful'],['Benevolence'],"['conveni', 'conveni']",conforms with value,12, hedonism
